,cadastral_,shape
0,71:11:010201:23,"MULTIPOLYGON (((4290817.99858965 7167060.54559493, 4290811.25058253 7167059.85288942, 4290810.20531757 7167069.99012416, 4290816.95360102 7167070.69983673, 4290817.99858965 7167060.54559493)))"
1,71:28:000000:19,"MULTIPOLYGON (((4289407.25554663 7164797.04303485, 4289436.92009846 7164822.71537116, 4289449.01415487 7164807.32396021, 4289520.90278068 7164715.22436276, 4289515.68206659 7164711.15697055, 4289436.62293767 7164813.43542783, 4289397.48326529 7164779.57899096, 4289394.2369921 7164783.55782735, 4289404.28641641 7164792.66824268, 4289407.25554663 7164797.04303485)))"
2,71:28:000000:235,"MULTIPOLYGON (((4289230.64218604 7163654.9246614, 4289244.26926796 7163653.13067131, 4289243.38402327 7163646.37760283, 4289236.02052449 7163647.35969661, 4289232.44071468 7163629.85230212, 4289235.16325598 7163620.57760397, 4289245.90510436 7163615.41123214, 4289249.03652215 7163587.69985438, 4289240.88352417 7163512.78021553, 4289206.47482957 7163510.01904945, 4289206.57626402 7163484.88863671, 4289209.860724 7163450.64664231, 4289220.94452329 7163351.79569225, 4289224.45228644 7163272.9898951, 4289274.11422865 7163276.10772005, 4289327.03549598 7163280.4834166, 4289323.36836056 7163273.72313756, 4289274.36437961 7163269.2862379, 4289217.88018557 7163265.9348988, 4289215.1200312 7163351.37657483, 4289203.11381763 7163449.81686454, 4289199.80307104 7163484.55231735, 4289199.66868223 7163516.29700074, 4289234.72260932 7163519.09913017, 4289242.2197616 7163587.8403059, 4289239.3908688 7163611.00737994, 4289229.52452367 7163615.75201835, 4289225.44746406 7163629.55343813, 4289230.64218604 7163654.9246614)))"
3,71:28:000000:236,"MULTIPOLYGON (((4289488.35369173 7163481.57303719, 4289483.08285388 7163482.94764774, 4289484.52792145 7163488.60367113, 4289512.90941404 7163481.20579521, 4289520.85847422 7163513.47004864, 4289533.07533451 7163510.45651618, 4289531.46277471 7163503.85099911, 4289525.81911332 7163505.24847938, 4289519.8983056 7163481.23243525, 4289526.57507622 7163479.73378467, 4289525.08070593 7163473.0924384, 4289518.26880478 7163474.62720504, 4289517.85149465 7163472.8825435, 4289504.21814191 7163476.42826046, 4289488.35369173 7163481.57303719)))"
4,71:28:000000:238,"MULTIPOLYGON (((4291143.5328695 7162095.962553, 4291159.24645199 7162101.91801193, 4291161.19555677 7162095.3935051, 4291145.61816322 7162089.46989356, 4291143.5328695 7162095.962553)))"
5,71:28:000000:24,"MULTIPOLYGON (((4286972.13370423 7164424.61812925, 4287064.20380196 7164439.3770898, 4287072.80763792 7164338.46364898, 4287077.77875988 7164279.62288373, 4287079.97764832 7164219.20975408, 4287132.37572772 7164213.44074955, 4287166.07570054 7164221.85026424, 4287170.45226109 7164143.02356206, 4287166.92290423 7164134.08302296, 4287168.32815461 7164127.24315115, 4287167.61610726 7164127.27108569, 4287168.06102209 7164099.77007854, 4287164.22139126 7164099.38694088, 4287163.90155264 7164087.33661162, 4287163.51115877 7164080.66037137, 4287158.4559012 7164080.65295904, 4287158.46196983 7164072.16830804, 4287157.36836073 7164054.99496713, 4287157.42153887 7164010.73526724, 4287063.86414244 7164011.57575818, 4286978.33778296 7164019.56932255, 4286873.97223819 7164029.15973074, 4286866.73937825 7164188.99843789, 4286937.77100474 7164191.49806837, 4286937.43378031 7164206.09213608, 4286983.21928007 7164212.76992152, 4286972.13370423 7164424.61812925), (4287062.48280854 7164143.32013709, 4286996.99969049 7164138.66219565, 4287001.64547295 7164072.92468326, 4287067.14500812 7164077.58229174, 4287062.48280854 7164143.32013709)))"
6,71:28:000000:241,"MULTIPOLYGON (((4290327.31014187 7161113.65190818, 4290333.08276009 7161120.59767511, 4290341.72291392 7161113.59485566, 4290351.74091153 7161111.19346185, 4290350.5794454 7161106.33367189, 4290358.24721694 7161100.04303369, 4290352.21576694 7161092.81243532, 4290327.31014187 7161113.65190818)))"
7,71:28:000000:242,"MULTIPOLYGON (((4291327.46126464 7164244.60265573, 4291367.88211211 7164248.6196064, 4291372.08450902 7164207.55737566, 4291331.90465142 7164199.4558123, 4291327.46126464 7164244.60265573), (4291332.6812213 7164239.99681406, 4291334.80125088 7164218.50470839, 4291365.53720923 7164221.55323337, 4291363.34942364 7164243.04643252, 4291332.6812213 7164239.99681406)))"
8,71:28:000000:246,"MULTIPOLYGON (((4290902.73306125 7164235.93104275, 4290903.02253455 7164231.69258531, 4290889.48876316 7164230.83555014, 4290890.10878545 7164220.65764486, 4290895.64018143 7164132.42450688, 4290897.4739511 7164132.53151207, 4290898.18946509 7164123.03235196, 4290872.63303156 7164121.37937441, 4290872.10021156 7164128.47817472, 4290859.2966817 7164127.66055541, 4290859.07860106 7164131.04766114, 4290852.83909905 7164224.97112411, 4290850.88121743 7164227.75666576, 4290869.86547579 7164228.93561164, 4290869.56437953 7164233.51432049, 4290881.33407367 7164234.38230195, 4290881.55937648 7164231.45413202, 4290882.06309423 7164224.66176247, 4290885.78262629 7164224.9429728, 4290885.27891172 7164231.7353428, 4290885.07030226 7164234.64624527, 4290902.73306125 7164235.93104275)))"
9,71:28:000000:247,"MULTIPOLYGON (((4288267.95180004 7165667.74478209, 4288268.61492803 7165667.83654726, 4288268.72344269 7165667.17161066, 4288268.04308961 7165667.06310585, 4288267.95180004 7165667.74478209)), ((4288273.03132405 7165668.15927135, 4288273.69445213 7165668.25103609, 4288273.78600342 7165667.58636222, 4288273.12287539 7165667.4945975, 4288273.03132405 7165668.15927135)), ((4288289.93515248 7165669.56398674, 4288290.59828086 7165669.65575008, 4288290.70679369 7165668.99081304, 4288290.02644017 7165668.8823101, 4288289.93515248 7165669.56398674)), ((4288294.99771575 7165669.97872476, 4288295.67806943 7165670.08722728, 4288295.76935663 7165669.40555053, 4288295.10622821 7165669.31378764, 4288294.99771575 7165669.97872476)), ((4288433.9619261 7165688.94615738, 4288434.64228323 7165689.05464811, 4288434.73355863 7165688.37296822, 4288434.0704271 7165688.28121685, 4288433.9619261 7165688.94615738)), ((4288433.67990451 7165692.65797145, 4288434.36026195 7165692.76646226, 4288434.45153742 7165692.08478205, 4288433.78840558 7165691.99303061, 4288433.67990451 7165692.65797145)), ((4288432.82254821 7165703.06231425, 4288433.50264397 7165703.15380271, 4288433.59418219 7165702.48912417, 4288432.93078693 7165702.38037, 4288432.82254821 7165703.06231425)), ((4288432.46584705 7165706.33312102, 4288433.14594309 7165706.42460955, 4288433.23748137 7165705.75993073, 4288432.5743484 7165705.66817904, 4288432.46584705 7165706.33312102)))"
